Question,Model,Recall,Factuality,Narrativity,Reduction,Generalization,Ambiguity,Repetetion,Irrelevance
Q1,GPT4,3,3,3,3,3,3,3,5
Q1,GPT5,4,3,5,4,3,3,3,5
Q1,RAG,5,5,5,5,5,5,5,5
Q2,GPT4,3,3,3,3,4,3,5,5
Q2,GPT5,4,5,5,4,5,4,5,5
Q2,RAG,5,5,3,5,4,5,5,5
Q3,GPT4,3,3,3,3,4,3,5,5
Q3,GPT5,5,5,4,5,5,5,5,5
Q3,RAG,4,5,3,5,4,5,5,5
Q4,GPT4,3,2,3,3,4,3,3,5
Q4,GPT5,4,4,3,4,4,4,3,5
Q4,RAG,5,5,3,5,4,5,5,5
Q5,GPT4,4,3,3,2,3,3,4,5
Q5,GPT5,5,4,4,5,5,4,4,5
Q5,RAG,5,5,3,5,4,5,5,5
Q6,GPT4,4,4,2,3,3,4,5,4
Q6,GPT5,4,4,2,3,3,3,5,4
Q6,RAG,5,5,3,5,4,5,5,5
Q7,GPT4,,,,,,,,
Q7,GPT5,,,,,,,,
Q7,RAG,,,,,,,,
Q8,GPT4,,,,,,,,
Q8,GPT5,,,,,,,,
Q8,RAG,,,,,,,,
Q9,GPT4,4,3,4,3,3,5,5,5
Q9,GPT5,3,4,3,3,3,4,5,5
Q9,RAG,5,5,3,5,4,4,5,5
Q10,GPT4,4,3,3,3,2,3,5,5
Q10,GPT5,4,4,2,3,3,3,5,5
Q10,RAG,5,5,3,5,4,5,5,5
Q11,GPT4,4,3,3,3,3,3,3,5
Q11,GPT5,4,3,2,3,3,3,3,5
Q11,RAG,5,5,3,5,4,5,5,5
Q12,GPT4,4,4,4,3,3,3,5,5
Q12,GPT5,4,4,2,3,3,3,5,5
Q12,RAG,5,5,3,5,4,5,5,5
Q13,GPT4,,,,,,,,
Q13,GPT5,,,,,,,,
Q13,RAG,,,,,,,,
Q14,GPT4,,,,,,,,
Q14,GPT5,,,,,,,,
Q14,RAG,,,,,,,,
Q15,GPT4,4,3,3,3,2,3,2,5
Q15,GPT5,5,4,2,4,4,4,4,5
Q15,RAG,5,5,3,5,4,5,5,5
Q16,GPT4,4,4,4,3,3,3,3,3
Q16,GPT5,4,4,2,3,3,3,3,5
Q16,RAG,5,5,3,5,4,5,5,5
Q17,GPT4,,,,,,,,
Q17,GPT5,,,,,,,,
Q17,RAG,,,,,,,,
Q18,GPT4,4,4,3,3,3,4,3,5
Q18,GPT5,4,4,2,3,3,2,3,5
Q18,RAG,5,5,3,5,4,5,5,5
Q19,GPT4,4,3,4,3,2,3,3,5
Q19,GPT5,4,4,3,3,3,3,3,5
Q19,RAG,5,5,3,5,4,5,5,5
Q20,GPT4,2,2,3,2,2,3,3,2
Q20,GPT5,4,4,2,3,3,4,3,4
Q20,RAG,5,5,3,5,4,5,5,5
Q21,GPT4,,,,,,,,
Q21,GPT5,,,,,,,,
Q21,RAG,,,,,,,,
Q22,GPT4,2,2,3,3,2,2,2,2
Q22,GPT5,4,3,3,3,2,4,3,4
Q22,RAG,4,5,3,5,4,5,5,5
Q23,GPT4,3,1,4,3,3,4,2,4
Q23,GPT5,3,2,2,2,2,4,3,4
Q23,RAG,5,5,3,5,4,3,4,5
Q24,GPT4,,,,,,,,
Q24,GPT5,,,,,,,,
Q24,RAG,,,,,,,,
