id,row_mean,row_min,row_max,row_min_col,row_max_col
Q1 GPT4,4.375,3.0,5.0,Reduction,Narrativity
Q1 GPT5,4.125,4.0,5.0,Factuality,Recall
Q1 RAG,5.0,5.0,5.0,Recall,Recall
Q2 GPT4,3.625,3.0,5.0,Recall,Repetetion
Q2 GPT5,3.625,3.0,5.0,Recall,Repetetion
Q2 RAG,5.0,5.0,5.0,Recall,Recall
Q4 GPT4,3.125,2.0,5.0,Factuality,Irrelevance
Q4 GPT5,3.0,2.0,5.0,Factuality,Irrelevance
Q4 RAG,5.0,5.0,5.0,Recall,Recall
Q6 GPT4,3.625,3.0,5.0,Factuality,Repetetion
Q6 GPT5,3.25,2.0,5.0,Factuality,Repetetion
Q6 RAG,5.0,5.0,5.0,Recall,Recall
Q7 GPT4,2.857,2.0,4.0,Factuality,Narrativity
Q7 GPT5,3.0,2.0,4.0,Repetetion,Narrativity
Q7 RAG,4.875,4.0,5.0,Narrativity,Recall
Q11 GPT4,3.333,3.0,4.0,Factuality,Recall
Q11 GPT5,2.625,2.0,3.0,Factuality,Recall
Q11 RAG,5.0,5.0,5.0,Recall,Recall
Q13 GPT4,4.0,4.0,4.0,Recall,Recall
Q13 GPT5,2.625,2.0,3.0,Factuality,Recall
Q13 RAG,5.0,5.0,5.0,Recall,Recall
Q17 GPT4,3.25,3.0,4.0,Factuality,Recall
Q17 GPT5,4.0,4.0,4.0,Recall,Recall
Q17 RAG,5.0,5.0,5.0,Recall,Recall
Q18 GPT4,2.875,2.0,5.0,Reduction,Irrelevance
Q18 GPT5,3.75,3.0,4.0,Repetetion,Recall
Q18 RAG,5.0,5.0,5.0,Recall,Recall
Q19 GPT4,3.5,3.0,4.0,Factuality,Recall
Q19 GPT5,2.667,2.0,3.0,Factuality,Recall
Q19 RAG,5.0,5.0,5.0,Recall,Recall
Q20 GPT4,2.375,2.0,3.0,Recall,Narrativity
Q20 GPT5,3.0,2.0,4.0,Reduction,Ambiguity
Q20 RAG,4.625,3.0,5.0,Narrativity,Recall
Q21 GPT4,2.857,2.0,3.0,Generalization,Recall
Q21 GPT5,3.833,3.0,4.0,Generalization,Recall
Q21 RAG,4.875,4.0,5.0,Generalization,Recall
Q22 GPT4,4.0,4.0,4.0,Recall,Recall
Q22 GPT5,2.875,2.0,3.0,Factuality,Recall
Q22 RAG,4.875,4.0,5.0,Recall,Factuality
Q23 GPT4,2.571,2.0,3.0,Factuality,Recall
Q23 GPT5,3.429,3.0,4.0,Factuality,Recall
Q23 RAG,4.625,3.0,5.0,Ambiguity,Recall
