id,Question,Model,Recall,Factuality,Narrativity,Reduction,Generalization,Ambiguity,Repetetion,Irrelevance
Q1 GPT4,Q1,GPT4,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0
Q1 GPT5,Q1,GPT5,3.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0
Q1 RAG,Q1,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q2 GPT4,Q2,GPT4,2.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0
Q2 GPT5,Q2,GPT5,3.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0
Q2 RAG,Q2,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q3 GPT4,Q3,GPT4,4.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0
Q3 GPT5,Q3,GPT5,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0
Q3 RAG,Q3,RAG,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q4 GPT4,Q4,GPT4,2.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0
Q4 GPT5,Q4,GPT5,3.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0
Q4 RAG,Q4,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q5 GPT4,Q5,GPT4,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0
Q5 GPT5,Q5,GPT5,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0
Q5 RAG,Q5,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q7 GPT4,Q7,GPT4,2.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0
Q7 GPT5,Q7,GPT5,4.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0
Q7 RAG,Q7,RAG,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Q8 GPT4,Q8,GPT4,2.0,2.0,2.0,1.0,5.0,2.0,5.0,5.0
Q8 GPT5,Q8,GPT5,3.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0
Q8 RAG,Q8,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q9 GPT4,Q9,GPT4,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0
Q9 GPT5,Q9,GPT5,4.0,4.0,2.0,3.0,5.0,5.0,4.0,5.0
Q9 RAG,Q9,RAG,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
Q12 GPT4,Q12,GPT4,3.0,1.0,2.0,3.0,4.0,3.0,2.0,4.0
Q12 GPT5,Q12,GPT5,2.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0
Q12 RAG,Q12,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q13 GPT4,Q13,GPT4,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0
Q13 GPT5,Q13,GPT5,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
Q13 RAG,Q13,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q14 GPT4,Q14,GPT4,2.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0
Q14 GPT5,Q14,GPT5,3.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0
Q14 RAG,Q14,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q15 GPT4,Q15,GPT4,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0
Q15 GPT5,Q15,GPT5,3.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0
Q15 RAG,Q15,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q17 GPT4,Q17,GPT4,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
Q17 GPT5,Q17,GPT5,3.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0
Q17 RAG,Q17,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q20 GPT4,Q20,GPT4,0.0,0.0,3.0,2.0,2.0,3.0,5.0,0.0
Q20 GPT5,Q20,GPT5,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0
Q20 RAG,Q20,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q23 GPT4,Q23,GPT4,4.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0
Q23 GPT5,Q23,GPT5,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
Q23 RAG,Q23,RAG,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0
Q24 GPT4,Q24,GPT4,1.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0
Q24 GPT5,Q24,GPT5,2.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0
Q24 RAG,Q24,RAG,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
