model,criterion,mean,min,max,min_question,max_question
GPT4,Recall,3.2,2.0,4.0,Q1,Q8
GPT4,Factuality,3.2,2.0,5.0,Q2,Q8
GPT4,Narrativity,3.933,3.0,5.0,Q1,Q7
GPT4,Reduction,3.267,2.0,4.0,Q6,Q3
GPT4,Generalization,3.067,2.0,4.0,Q3,Q8
GPT4,Ambiguity,3.667,2.0,5.0,Q6,Q4
GPT4,Repetetion,3.333,2.0,5.0,Q18,Q13
GPT4,Irrelevance,3.857,2.0,5.0,Q10,Q16
GPT5,Recall,3.2,2.0,4.0,Q16,Q1
GPT5,Factuality,3.267,2.0,4.0,Q2,Q4
GPT5,Narrativity,3.467,2.0,5.0,Q18,Q13
GPT5,Reduction,3.267,2.0,4.0,Q18,Q1
GPT5,Generalization,2.933,2.0,4.0,Q1,Q14
GPT5,Ambiguity,3.533,2.0,5.0,Q16,Q3
GPT5,Repetetion,3.556,2.0,5.0,Q4,Q1
GPT5,Irrelevance,3.429,2.0,4.0,Q21,Q6
RAG,Recall,4.867,4.0,5.0,Q3,Q1
RAG,Factuality,5.0,5.0,5.0,Q1,Q1
RAG,Narrativity,4.867,4.0,5.0,Q7,Q1
RAG,Reduction,5.0,5.0,5.0,Q1,Q1
RAG,Generalization,4.933,4.0,5.0,Q21,Q1
RAG,Ambiguity,5.0,5.0,5.0,Q1,Q1
RAG,Repetetion,5.0,5.0,5.0,Q1,Q1
RAG,Irrelevance,5.0,5.0,5.0,Q1,Q1
