id,row_mean,row_min,row_max,row_min_col,row_max_col
Q1 GPT4,3.25,3.0,5.0,Recall,Irrelevance
Q1 GPT5,3.75,3.0,5.0,Factuality,Narrativity
Q1 RAG,5.0,5.0,5.0,Recall,Recall
Q2 GPT4,3.625,3.0,5.0,Recall,Repetetion
Q2 GPT5,4.625,4.0,5.0,Recall,Factuality
Q2 RAG,4.625,3.0,5.0,Narrativity,Recall
Q3 GPT4,3.625,3.0,5.0,Recall,Repetetion
Q3 GPT5,4.875,4.0,5.0,Narrativity,Recall
Q3 RAG,4.5,3.0,5.0,Narrativity,Factuality
Q4 GPT4,3.25,2.0,5.0,Factuality,Irrelevance
Q4 GPT5,3.875,3.0,5.0,Narrativity,Irrelevance
Q4 RAG,4.625,3.0,5.0,Narrativity,Recall
Q5 GPT4,3.375,2.0,5.0,Reduction,Irrelevance
Q5 GPT5,4.5,4.0,5.0,Factuality,Recall
Q5 RAG,4.625,3.0,5.0,Narrativity,Recall
Q6 GPT4,3.625,2.0,5.0,Narrativity,Repetetion
Q6 GPT5,3.5,2.0,5.0,Narrativity,Repetetion
Q6 RAG,4.625,3.0,5.0,Narrativity,Recall
Q9 GPT4,4.0,3.0,5.0,Factuality,Ambiguity
Q9 GPT5,3.75,3.0,5.0,Recall,Repetetion
Q9 RAG,4.5,3.0,5.0,Narrativity,Recall
Q10 GPT4,3.5,2.0,5.0,Generalization,Repetetion
Q10 GPT5,3.625,2.0,5.0,Narrativity,Repetetion
Q10 RAG,4.625,3.0,5.0,Narrativity,Recall
Q11 GPT4,3.375,3.0,5.0,Factuality,Irrelevance
Q11 GPT5,3.25,2.0,5.0,Narrativity,Irrelevance
Q11 RAG,4.625,3.0,5.0,Narrativity,Recall
Q12 GPT4,3.875,3.0,5.0,Reduction,Repetetion
Q12 GPT5,3.625,2.0,5.0,Narrativity,Repetetion
Q12 RAG,4.625,3.0,5.0,Narrativity,Recall
Q15 GPT4,3.125,2.0,5.0,Generalization,Irrelevance
Q15 GPT5,4.0,2.0,5.0,Narrativity,Recall
Q15 RAG,4.625,3.0,5.0,Narrativity,Recall
Q16 GPT4,3.375,3.0,4.0,Reduction,Recall
Q16 GPT5,3.375,2.0,5.0,Narrativity,Irrelevance
Q16 RAG,4.625,3.0,5.0,Narrativity,Recall
Q18 GPT4,3.625,3.0,5.0,Narrativity,Irrelevance
Q18 GPT5,3.25,2.0,5.0,Narrativity,Irrelevance
Q18 RAG,4.625,3.0,5.0,Narrativity,Recall
Q19 GPT4,3.375,2.0,5.0,Generalization,Irrelevance
Q19 GPT5,3.5,3.0,5.0,Narrativity,Irrelevance
Q19 RAG,4.625,3.0,5.0,Narrativity,Recall
Q20 GPT4,2.375,2.0,3.0,Recall,Narrativity
Q20 GPT5,3.375,2.0,4.0,Narrativity,Recall
Q20 RAG,4.625,3.0,5.0,Narrativity,Recall
Q22 GPT4,2.25,2.0,3.0,Recall,Narrativity
Q22 GPT5,3.25,2.0,4.0,Generalization,Recall
Q22 RAG,4.5,3.0,5.0,Narrativity,Factuality
Q23 GPT4,3.0,1.0,4.0,Factuality,Narrativity
Q23 GPT5,2.75,2.0,4.0,Factuality,Ambiguity
Q23 RAG,4.25,3.0,5.0,Narrativity,Recall
