model,criterion,mean,min,max,min_question,max_question
GPT4,Recall,3.471,2.0,4.0,Q20,Q5
GPT4,Factuality,2.941,1.0,4.0,Q23,Q6
GPT4,Narrativity,3.235,2.0,4.0,Q6,Q9
GPT4,Reduction,2.882,2.0,3.0,Q5,Q1
GPT4,Generalization,2.882,2.0,4.0,Q10,Q2
GPT4,Ambiguity,3.235,2.0,5.0,Q22,Q9
GPT4,Repetetion,3.588,2.0,5.0,Q15,Q2
GPT4,Irrelevance,4.412,2.0,5.0,Q20,Q1
GPT5,Recall,4.059,3.0,5.0,Q9,Q3
GPT5,Factuality,3.824,2.0,5.0,Q23,Q2
GPT5,Narrativity,2.824,2.0,5.0,Q6,Q1
GPT5,Reduction,3.412,2.0,5.0,Q23,Q3
GPT5,Generalization,3.353,2.0,5.0,Q22,Q2
GPT5,Ambiguity,3.529,2.0,5.0,Q18,Q3
GPT5,Repetetion,3.824,3.0,5.0,Q1,Q2
GPT5,Irrelevance,4.765,4.0,5.0,Q6,Q1
RAG,Recall,4.882,4.0,5.0,Q3,Q1
RAG,Factuality,5.0,5.0,5.0,Q1,Q1
RAG,Narrativity,3.118,3.0,5.0,Q2,Q1
RAG,Reduction,5.0,5.0,5.0,Q1,Q1
RAG,Generalization,4.059,4.0,5.0,Q2,Q1
RAG,Ambiguity,4.824,3.0,5.0,Q23,Q1
RAG,Repetetion,4.941,4.0,5.0,Q23,Q1
RAG,Irrelevance,5.0,5.0,5.0,Q1,Q1
