Model,criterion,mean_value
GPT4,Ambiguity,3.1333333333333333
GPT4,Factuality,2.84
GPT4,Generalization,3.12
GPT4,Irrelevance,4.036363636363636
GPT4,Narrativity,3.546666666666667
GPT4,Recall,3.3066666666666666
GPT4,Reduction,3.0533333333333332
GPT4,Repetetion,3.6129032258064515
GPT5,Ambiguity,3.2933333333333334
GPT5,Factuality,3.2
GPT5,Generalization,3.1733333333333333
GPT5,Irrelevance,3.857142857142857
GPT5,Narrativity,2.8933333333333335
GPT5,Recall,3.5733333333333333
GPT5,Reduction,3.2933333333333334
GPT5,Repetetion,3.6984126984126986
RAG,Ambiguity,4.866666666666666
RAG,Factuality,5.0
RAG,Generalization,4.706666666666667
RAG,Irrelevance,5.0
RAG,Narrativity,4.466666666666667
RAG,Recall,4.92
RAG,Reduction,5.0
RAG,Repetetion,4.957746478873239
