id,Question,Model,Recall,Factuality,Narrativity,Reduction,Generalization,Ambiguity,Repetetion,Irrelevance
Q1 GPT4,Q1,GPT4,2.0,4.0,3.0,3.0,3.0,4.0,3.0,
Q1 GPT5,Q1,GPT5,4.0,3.0,3.0,4.0,2.0,4.0,5.0,
Q1 RAG,Q1,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q2 GPT4,Q2,GPT4,2.0,2.0,3.0,3.0,3.0,4.0,,
Q2 GPT5,Q2,GPT5,3.0,2.0,3.0,4.0,2.0,4.0,,
Q2 RAG,Q2,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q3 GPT4,Q3,GPT4,3.0,3.0,3.0,4.0,2.0,4.0,,
Q3 GPT5,Q3,GPT5,3.0,3.0,3.0,4.0,3.0,5.0,,
Q3 RAG,Q3,RAG,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q4 GPT4,Q4,GPT4,2.0,3.0,3.0,3.0,3.0,5.0,4.0,
Q4 GPT5,Q4,GPT5,4.0,4.0,4.0,3.0,3.0,4.0,2.0,
Q4 RAG,Q4,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q6 GPT4,Q6,GPT4,3.0,3.0,4.0,2.0,3.0,2.0,,4.0
Q6 GPT5,Q6,GPT5,4.0,3.0,4.0,3.0,3.0,3.0,,4.0
Q6 RAG,Q6,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q7 GPT4,Q7,GPT4,2.0,3.0,5.0,3.0,2.0,5.0,,3.0
Q7 GPT5,Q7,GPT5,3.0,3.0,4.0,3.0,3.0,5.0,,4.0
Q7 RAG,Q7,RAG,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Q8 GPT4,Q8,GPT4,4.0,5.0,5.0,4.0,4.0,4.0,,
Q8 GPT5,Q8,GPT5,3.0,4.0,4.0,3.0,3.0,4.0,,
Q8 RAG,Q8,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q10 GPT4,Q10,GPT4,3.0,3.0,4.0,3.0,3.0,4.0,,2.0
Q10 GPT5,Q10,GPT5,4.0,4.0,3.0,4.0,3.0,4.0,,4.0
Q10 RAG,Q10,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q13 GPT4,Q13,GPT4,4.0,3.0,5.0,3.0,2.0,3.0,5.0,
Q13 GPT5,Q13,GPT5,4.0,4.0,5.0,3.0,3.0,4.0,5.0,
Q13 RAG,Q13,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q14 GPT4,Q14,GPT4,4.0,4.0,4.0,3.0,4.0,3.0,3.0,
Q14 GPT5,Q14,GPT5,3.0,4.0,3.0,3.0,4.0,3.0,3.0,
Q14 RAG,Q14,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q16 GPT4,Q16,GPT4,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0
Q16 GPT5,Q16,GPT5,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0
Q16 RAG,Q16,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q18 GPT4,Q18,GPT4,4.0,3.0,4.0,4.0,4.0,4.0,2.0,
Q18 GPT5,Q18,GPT5,3.0,3.0,2.0,2.0,3.0,2.0,3.0,
Q18 RAG,Q18,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q21 GPT4,Q21,GPT4,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0
Q21 GPT5,Q21,GPT5,2.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0
Q21 RAG,Q21,RAG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Q22 GPT4,Q22,GPT4,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0
Q22 GPT5,Q22,GPT5,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0
Q22 RAG,Q22,RAG,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q24 GPT4,Q24,GPT4,4.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0
Q24 GPT5,Q24,GPT5,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0
Q24 RAG,Q24,RAG,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
