model,criterion,mean,min,max,min_question,max_question
GPT4,Recall,2.312,0.0,4.0,Q20,Q3
GPT4,Factuality,1.938,0.0,4.0,Q20,Q5
GPT4,Narrativity,3.062,2.0,5.0,Q1,Q23
GPT4,Reduction,2.812,1.0,4.0,Q1,Q3
GPT4,Generalization,3.75,2.0,5.0,Q15,Q8
GPT4,Ambiguity,2.625,1.0,4.0,Q14,Q13
GPT4,Repetetion,4.0,2.0,5.0,Q1,Q2
GPT4,Irrelevance,3.625,0.0,5.0,Q20,Q2
GPT5,Recall,3.062,2.0,4.0,Q12,Q3
GPT5,Factuality,2.438,1.0,4.0,Q14,Q9
GPT5,Narrativity,2.0,1.0,3.0,Q13,Q2
GPT5,Reduction,2.688,1.0,4.0,Q1,Q4
GPT5,Generalization,3.062,2.0,5.0,Q3,Q9
GPT5,Ambiguity,2.375,0.0,5.0,Q8,Q9
GPT5,Repetetion,3.688,1.0,5.0,Q13,Q2
GPT5,Irrelevance,3.062,2.0,5.0,Q3,Q2
RAG,Recall,4.938,4.0,5.0,Q3,Q1
RAG,Factuality,5.0,5.0,5.0,Q1,Q1
RAG,Narrativity,4.875,4.0,5.0,Q7,Q1
RAG,Reduction,5.0,5.0,5.0,Q1,Q1
RAG,Generalization,5.0,5.0,5.0,Q1,Q1
RAG,Ambiguity,4.812,3.0,5.0,Q23,Q1
RAG,Repetetion,4.938,4.0,5.0,Q23,Q1
RAG,Irrelevance,5.0,5.0,5.0,Q1,Q1
