id,Question,Model,Recall,Factuality,Narrativity,Reduction,Generalization,Ambiguity,Repetetion,Irrelevance
Q1 GPT4,Q1,GPT4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Q1 GPT5,Q1,GPT5,4.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0
Q1 RAG,Q1,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q2 GPT4,Q2,GPT4,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0
Q2 GPT5,Q2,GPT5,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
Q2 RAG,Q2,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q3 GPT4,Q3,GPT4,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0
Q3 GPT5,Q3,GPT5,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Q3 RAG,Q3,RAG,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q4 GPT4,Q4,GPT4,3.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0
Q4 GPT5,Q4,GPT5,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0
Q4 RAG,Q4,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q5 GPT4,Q5,GPT4,4.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0
Q5 GPT5,Q5,GPT5,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0
Q5 RAG,Q5,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q6 GPT4,Q6,GPT4,4.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0
Q6 GPT5,Q6,GPT5,4.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0
Q6 RAG,Q6,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q9 GPT4,Q9,GPT4,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0
Q9 GPT5,Q9,GPT5,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0
Q9 RAG,Q9,RAG,5.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0
Q10 GPT4,Q10,GPT4,4.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0
Q10 GPT5,Q10,GPT5,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0
Q10 RAG,Q10,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q11 GPT4,Q11,GPT4,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Q11 GPT5,Q11,GPT5,4.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0
Q11 RAG,Q11,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q12 GPT4,Q12,GPT4,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0
Q12 GPT5,Q12,GPT5,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0
Q12 RAG,Q12,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q15 GPT4,Q15,GPT4,4.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0
Q15 GPT5,Q15,GPT5,5.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0
Q15 RAG,Q15,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q16 GPT4,Q16,GPT4,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
Q16 GPT5,Q16,GPT5,4.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0
Q16 RAG,Q16,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q18 GPT4,Q18,GPT4,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0
Q18 GPT5,Q18,GPT5,4.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0
Q18 RAG,Q18,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q19 GPT4,Q19,GPT4,4.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0
Q19 GPT5,Q19,GPT5,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0
Q19 RAG,Q19,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q20 GPT4,Q20,GPT4,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0
Q20 GPT5,Q20,GPT5,4.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0
Q20 RAG,Q20,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q22 GPT4,Q22,GPT4,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
Q22 GPT5,Q22,GPT5,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0
Q22 RAG,Q22,RAG,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q23 GPT4,Q23,GPT4,3.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0
Q23 GPT5,Q23,GPT5,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0
Q23 RAG,Q23,RAG,5.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0
