Model,criterion,mean_value
GPT4,Ambiguity,3.0
GPT4,Factuality,2.75
GPT4,Generalization,3.1333333333333333
GPT4,Irrelevance,4.0625
GPT4,Narrativity,3.45
GPT4,Recall,3.3333333333333335
GPT4,Reduction,3.0
GPT4,Repetetion,3.660377358490566
GPT5,Ambiguity,3.2333333333333334
GPT5,Factuality,3.183333333333333
GPT5,Generalization,3.2333333333333334
GPT5,Irrelevance,3.9183673469387754
GPT5,Narrativity,2.75
GPT5,Recall,3.6666666666666665
GPT5,Reduction,3.3
GPT5,Repetetion,3.7222222222222223
RAG,Ambiguity,4.833333333333333
RAG,Factuality,5.0
RAG,Generalization,4.65
RAG,Irrelevance,5.0
RAG,Narrativity,4.366666666666666
RAG,Recall,4.933333333333334
RAG,Reduction,5.0
RAG,Repetetion,4.946428571428571
