Model,Question,criterion,mean_value
GPT4,Q1,Ambiguity,3.5
GPT4,Q1,Factuality,3.25
GPT4,Q1,Generalization,3.5
GPT4,Q1,Irrelevance,4.0
GPT4,Q1,Narrativity,3.25
GPT4,Q1,Recall,2.5
GPT4,Q1,Reduction,2.5
GPT4,Q1,Repetetion,3.25
GPT4,Q10,Ambiguity,3.3333333333333335
GPT4,Q10,Factuality,3.0
GPT4,Q10,Generalization,2.6666666666666665
GPT4,Q10,Irrelevance,3.6666666666666665
GPT4,Q10,Narrativity,3.3333333333333335
GPT4,Q10,Recall,3.6666666666666665
GPT4,Q10,Reduction,3.0
GPT4,Q10,Repetetion,5.0
GPT4,Q11,Ambiguity,3.0
GPT4,Q11,Factuality,2.6666666666666665
GPT4,Q11,Generalization,2.6666666666666665
GPT4,Q11,Irrelevance,5.0
GPT4,Q11,Narrativity,3.3333333333333335
GPT4,Q11,Recall,4.0
GPT4,Q11,Reduction,3.3333333333333335
GPT4,Q11,Repetetion,3.5
GPT4,Q12,Ambiguity,3.3333333333333335
GPT4,Q12,Factuality,3.0
GPT4,Q12,Generalization,3.3333333333333335
GPT4,Q12,Irrelevance,4.5
GPT4,Q12,Narrativity,3.3333333333333335
GPT4,Q12,Recall,3.6666666666666665
GPT4,Q12,Reduction,3.3333333333333335
GPT4,Q12,Repetetion,3.5
GPT4,Q13,Ambiguity,3.6666666666666665
GPT4,Q13,Factuality,3.0
GPT4,Q13,Generalization,3.0
GPT4,Q13,Irrelevance,3.0
GPT4,Q13,Narrativity,4.333333333333333
GPT4,Q13,Recall,3.6666666666666665
GPT4,Q13,Reduction,3.6666666666666665
GPT4,Q13,Repetetion,4.333333333333333
GPT4,Q14,Ambiguity,2.6666666666666665
GPT4,Q14,Factuality,3.0
GPT4,Q14,Generalization,4.0
GPT4,Q14,Irrelevance,3.0
GPT4,Q14,Narrativity,4.0
GPT4,Q14,Recall,3.3333333333333335
GPT4,Q14,Reduction,3.3333333333333335
GPT4,Q14,Repetetion,3.0
GPT4,Q15,Ambiguity,2.6666666666666665
GPT4,Q15,Factuality,2.3333333333333335
GPT4,Q15,Generalization,2.0
GPT4,Q15,Irrelevance,4.0
GPT4,Q15,Narrativity,3.3333333333333335
GPT4,Q15,Recall,3.3333333333333335
GPT4,Q15,Reduction,3.3333333333333335
GPT4,Q15,Repetetion,3.0
GPT4,Q16,Ambiguity,3.0
GPT4,Q16,Factuality,3.3333333333333335
GPT4,Q16,Generalization,3.3333333333333335
GPT4,Q16,Irrelevance,4.0
GPT4,Q16,Narrativity,4.0
GPT4,Q16,Recall,4.333333333333333
GPT4,Q16,Reduction,3.0
GPT4,Q16,Repetetion,3.0
GPT4,Q17,Ambiguity,3.0
