id,row_mean,row_min,row_max,row_min_col,row_max_col
Q1 GPT4,2.0,1.0,4.0,Recall,Generalization
Q1 GPT5,2.75,1.0,4.0,Reduction,Generalization
Q1 RAG,5.0,5.0,5.0,Recall,Recall
Q2 GPT4,3.125,1.0,5.0,Factuality,Repetetion
Q2 GPT5,3.375,2.0,5.0,Factuality,Repetetion
Q2 RAG,5.0,5.0,5.0,Recall,Recall
Q3 GPT4,3.375,2.0,5.0,Factuality,Repetetion
Q3 GPT5,2.625,2.0,4.0,Factuality,Recall
Q3 RAG,4.875,4.0,5.0,Recall,Factuality
Q4 GPT4,3.375,2.0,5.0,Recall,Irrelevance
Q4 GPT5,2.875,1.0,4.0,Ambiguity,Reduction
Q4 RAG,5.0,5.0,5.0,Recall,Recall
Q5 GPT4,3.5,2.0,4.0,Narrativity,Recall
Q5 GPT5,3.375,2.0,4.0,Narrativity,Recall
Q5 RAG,5.0,5.0,5.0,Recall,Recall
Q7 GPT4,3.5,2.0,5.0,Recall,Repetetion
Q7 GPT5,2.875,2.0,5.0,Factuality,Repetetion
Q7 RAG,4.875,4.0,5.0,Narrativity,Recall
Q8 GPT4,3.0,1.0,5.0,Reduction,Generalization
Q8 GPT5,2.0,0.0,3.0,Ambiguity,Recall
Q8 RAG,5.0,5.0,5.0,Recall,Recall
Q9 GPT4,3.0,2.0,4.0,Factuality,Generalization
Q9 GPT5,4.0,2.0,5.0,Narrativity,Generalization
Q9 RAG,4.875,4.0,5.0,Ambiguity,Recall
Q12 GPT4,2.75,1.0,4.0,Factuality,Generalization
Q12 GPT5,2.875,2.0,5.0,Recall,Generalization
Q12 RAG,5.0,5.0,5.0,Recall,Recall
Q13 GPT4,3.25,2.0,4.0,Factuality,Narrativity
Q13 GPT5,1.75,1.0,3.0,Narrativity,Recall
Q13 RAG,5.0,5.0,5.0,Recall,Recall
Q14 GPT4,2.75,1.0,5.0,Factuality,Generalization
Q14 GPT5,2.375,1.0,5.0,Factuality,Repetetion
Q14 RAG,5.0,5.0,5.0,Recall,Recall
Q15 GPT4,2.5,1.0,4.0,Factuality,Reduction
Q15 GPT5,3.5,2.0,5.0,Factuality,Repetetion
Q15 RAG,5.0,5.0,5.0,Recall,Recall
Q17 GPT4,2.75,1.0,5.0,Factuality,Irrelevance
Q17 GPT5,3.0,1.0,5.0,Narrativity,Irrelevance
Q17 RAG,5.0,5.0,5.0,Recall,Recall
Q20 GPT4,1.875,0.0,5.0,Recall,Repetetion
Q20 GPT5,2.5,1.0,3.0,Factuality,Narrativity
Q20 RAG,5.0,5.0,5.0,Recall,Recall
Q23 GPT4,4.0,3.0,5.0,Factuality,Narrativity
Q23 GPT5,2.25,2.0,3.0,Narrativity,Recall
Q23 RAG,4.625,3.0,5.0,Ambiguity,Recall
Q24 GPT4,3.5,1.0,5.0,Recall,Generalization
Q24 GPT5,2.625,2.0,5.0,Recall,Repetetion
Q24 RAG,4.875,4.0,5.0,Narrativity,Recall
