model,criterion,mean,min,max,min_question,max_question
GPT4,Recall,3.429,2.0,4.0,Q20,Q1
GPT4,Factuality,2.929,2.0,4.0,Q4,Q1
GPT4,Narrativity,3.714,3.0,5.0,Q4,Q1
GPT4,Reduction,3.071,2.0,4.0,Q18,Q13
GPT4,Generalization,2.929,2.0,4.0,Q18,Q1
GPT4,Ambiguity,3.071,2.0,5.0,Q7,Q1
GPT4,Repetetion,3.636,2.0,5.0,Q18,Q1
GPT4,Irrelevance,4.1,3.0,5.0,Q7,Q1
GPT5,Recall,3.429,3.0,5.0,Q2,Q1
GPT5,Factuality,2.857,2.0,4.0,Q4,Q1
GPT5,Narrativity,3.5,3.0,4.0,Q2,Q1
GPT5,Reduction,3.214,2.0,4.0,Q11,Q1
GPT5,Generalization,2.929,2.0,4.0,Q4,Q1
GPT5,Ambiguity,3.286,2.0,4.0,Q6,Q1
GPT5,Repetetion,3.5,2.0,5.0,Q7,Q2
GPT5,Irrelevance,3.545,2.0,5.0,Q13,Q2
RAG,Recall,4.929,4.0,5.0,Q22,Q1
RAG,Factuality,5.0,5.0,5.0,Q1,Q1
RAG,Narrativity,4.786,3.0,5.0,Q20,Q1
RAG,Reduction,5.0,5.0,5.0,Q1,Q1
RAG,Generalization,4.857,4.0,5.0,Q20,Q1
RAG,Ambiguity,4.857,3.0,5.0,Q23,Q1
RAG,Repetetion,4.929,4.0,5.0,Q23,Q1
RAG,Irrelevance,5.0,5.0,5.0,Q1,Q1
