model,criterion,mean,min,max,min_question,max_question
GPT4,Recall,4.308,4.0,5.0,Q5,Q8
GPT4,Factuality,3.308,2.0,4.0,Q11,Q12
GPT4,Narrativity,3.923,3.0,5.0,Q5,Q15
GPT4,Reduction,3.308,2.0,4.0,Q5,Q9
GPT4,Generalization,2.923,2.0,4.0,Q5,Q9
GPT4,Ambiguity,3.077,2.0,4.0,Q5,Q12
GPT4,Repetetion,3.222,2.0,4.0,Q16,Q5
GPT4,Irrelevance,4.2,4.0,5.0,Q10,Q5
GPT5,Recall,4.154,3.0,5.0,Q8,Q9
GPT5,Factuality,3.615,3.0,4.0,Q8,Q5
GPT5,Narrativity,2.769,2.0,4.0,Q9,Q10
GPT5,Reduction,4.0,3.0,5.0,Q8,Q9
GPT5,Generalization,3.615,3.0,4.0,Q5,Q9
GPT5,Ambiguity,3.846,3.0,5.0,Q10,Q21
GPT5,Repetetion,3.889,3.0,5.0,Q15,Q5
GPT5,Irrelevance,4.6,4.0,5.0,Q16,Q5
RAG,Recall,5.0,5.0,5.0,Q5,Q5
RAG,Factuality,5.0,5.0,5.0,Q5,Q5
RAG,Narrativity,4.923,4.0,5.0,Q24,Q5
RAG,Reduction,5.0,5.0,5.0,Q5,Q5
RAG,Generalization,4.769,4.0,5.0,Q17,Q5
RAG,Ambiguity,4.846,3.0,5.0,Q17,Q5
RAG,Repetetion,5.0,5.0,5.0,Q5,Q5
RAG,Irrelevance,5.0,5.0,5.0,Q5,Q5
