id,row_mean,row_min,row_max,row_min_col,row_max_col
Q1 GPT4,3.143,2.0,4.0,Recall,Factuality
Q1 GPT5,3.571,2.0,5.0,Generalization,Repetetion
Q1 RAG,5.0,5.0,5.0,Recall,Recall
Q2 GPT4,2.833,2.0,4.0,Recall,Ambiguity
Q2 GPT5,3.0,2.0,4.0,Factuality,Reduction
Q2 RAG,5.0,5.0,5.0,Recall,Recall
Q3 GPT4,3.167,2.0,4.0,Generalization,Reduction
Q3 GPT5,3.5,3.0,5.0,Recall,Ambiguity
Q3 RAG,4.875,4.0,5.0,Recall,Factuality
Q4 GPT4,3.286,2.0,5.0,Recall,Ambiguity
Q4 GPT5,3.429,2.0,4.0,Repetetion,Recall
Q4 RAG,5.0,5.0,5.0,Recall,Recall
Q6 GPT4,3.0,2.0,4.0,Reduction,Narrativity
Q6 GPT5,3.429,3.0,4.0,Factuality,Recall
Q6 RAG,5.0,5.0,5.0,Recall,Recall
Q7 GPT4,3.286,2.0,5.0,Recall,Narrativity
Q7 GPT5,3.571,3.0,5.0,Recall,Ambiguity
Q7 RAG,4.875,4.0,5.0,Narrativity,Recall
Q8 GPT4,4.333,4.0,5.0,Recall,Factuality
Q8 GPT5,3.5,3.0,4.0,Recall,Factuality
Q8 RAG,5.0,5.0,5.0,Recall,Recall
Q10 GPT4,3.143,2.0,4.0,Irrelevance,Narrativity
Q10 GPT5,3.714,3.0,4.0,Narrativity,Recall
Q10 RAG,5.0,5.0,5.0,Recall,Recall
Q13 GPT4,3.571,2.0,5.0,Generalization,Narrativity
Q13 GPT5,4.0,3.0,5.0,Reduction,Narrativity
Q13 RAG,5.0,5.0,5.0,Recall,Recall
Q14 GPT4,3.571,3.0,4.0,Reduction,Recall
Q14 GPT5,3.286,3.0,4.0,Recall,Factuality
Q14 RAG,5.0,5.0,5.0,Recall,Recall
Q16 GPT4,3.875,3.0,5.0,Factuality,Irrelevance
Q16 GPT5,2.75,2.0,4.0,Recall,Irrelevance
Q16 RAG,5.0,5.0,5.0,Recall,Recall
Q18 GPT4,3.571,2.0,4.0,Repetetion,Recall
Q18 GPT5,2.571,2.0,3.0,Narrativity,Recall
Q18 RAG,5.0,5.0,5.0,Recall,Recall
Q21 GPT4,3.75,3.0,5.0,Reduction,Irrelevance
Q21 GPT5,3.25,2.0,4.0,Recall,Narrativity
Q21 RAG,4.875,4.0,5.0,Generalization,Recall
Q22 GPT4,2.75,2.0,3.0,Factuality,Recall
Q22 GPT5,3.125,2.0,4.0,Factuality,Narrativity
Q22 RAG,4.875,4.0,5.0,Recall,Factuality
Q24 GPT4,3.875,3.0,5.0,Factuality,Narrativity
Q24 GPT5,3.125,2.0,4.0,Generalization,Factuality
Q24 RAG,4.875,4.0,5.0,Narrativity,Recall
