id,Question,Model,Recall,Factuality,Narrativity,Reduction,Generalization,Ambiguity,Repetetion,Irrelevance
Q5 GPT4,Q5,GPT4,4,3,3,2,2,2,4,5
Q5 GPT5,Q5,GPT5,4,4,3,4,3,4,5,5
Q5 RAG,Q5,RAG,5,5,5,5,5,5,5,5
Q8 GPT4,Q8,GPT4,5,3,4,3,3,3,-,-
Q8 GPT5,Q8,GPT5,3,3,3,3,3,4,-,-
Q8 RAG,Q8,RAG,5,5,5,5,5,5,-,-
Q9 GPT4,Q9,GPT4,4,3,3,4,4,3,-,-
Q9 GPT5,Q9,GPT5,5,4,2,5,4,4,-,-
Q9 RAG,Q9,RAG,5,5,5,5,5,5,-,-
Q10 GPT4,Q10,GPT4,4,3,3,3,3,3,-,4
Q10 GPT5,Q10,GPT5,4,4,4,4,4,3,-,5
Q10 RAG,Q10,RAG,5,5,5,5,5,5,-,5
Q11 GPT4,Q11,GPT4,4,2,3,4,2,3,4,-
Q11 GPT5,Q11,GPT5,4,4,3,5,4,4,4,-
Q11 RAG,Q11,RAG,5,5,5,5,5,5,5,-
Q12 GPT4,Q12,GPT4,4,4,4,4,3,4,-,-
Q12 GPT5,Q12,GPT5,4,3,3,4,3,4,-,-
Q12 RAG,Q12,RAG,5,5,5,5,5,5,-,-
Q14 GPT4,Q14,GPT4,4,4,4,4,3,4,3,-
Q14 GPT5,Q14,GPT5,4,3,2,3,3,4,5,-
Q14 RAG,Q14,RAG,5,5,5,5,5,5,5,-
Q15 GPT4,Q15,GPT4,4,3,5,3,2,3,3,-
Q15 GPT5,Q15,GPT5,5,3,3,4,4,3,3,-
Q15 RAG,Q15,RAG,5,5,5,5,5,5,5,-
Q16 GPT4,Q16,GPT4,5,3,4,2,3,3,2,4
Q16 GPT5,Q16,GPT5,5,4,2,5,4,4,5,4
Q16 RAG,Q16,RAG,5,5,5,5,5,5,5,5
Q17 GPT4,Q17,GPT4,5,4,4,4,3,3,4,-
Q17 GPT5,Q17,GPT5,4,3,3,4,4,3,3,-
Q17 RAG,Q17,RAG,5,5,5,5,4,3,5,-
Q19 GPT4,Q19,GPT4,4,3,4,3,3,3,3,-
Q19 GPT5,Q19,GPT5,5,4,3,4,3,4,4,-
Q19 RAG,Q19,RAG,5,5,5,5,5,5,5,-
Q21 GPT4,Q21,GPT4,5,4,5,4,3,3,3,4
Q21 GPT5,Q21,GPT5,3,4,2,4,4,5,3,4
Q21 RAG,Q21,RAG,5,5,5,5,4,5,5,5
Q24 GPT4,Q24,GPT4,4,4,5,3,4,3,3,4
Q24 GPT5,Q24,GPT5,4,4,3,3,4,4,3,5
Q24 RAG,Q24,RAG,5,5,4,5,4,5,5,5
