id,Question,Model,Recall,Factuality,Narrativity,Reduction,Generalization,Ambiguity,Repetetion,Irrelevance
Q1 GPT4,Q1,GPT4,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0
Q1 GPT5,Q1,GPT5,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Q1 RAG,Q1,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q2 GPT4,Q2,GPT4,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0
Q2 GPT5,Q2,GPT5,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0
Q2 RAG,Q2,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q4 GPT4,Q4,GPT4,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0
Q4 GPT5,Q4,GPT5,3.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0
Q4 RAG,Q4,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q6 GPT4,Q6,GPT4,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0
Q6 GPT5,Q6,GPT5,3.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0
Q6 RAG,Q6,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q7 GPT4,Q7,GPT4,3.0,2.0,4.0,3.0,3.0,2.0,,3.0
Q7 GPT5,Q7,GPT5,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0
Q7 RAG,Q7,RAG,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
Q11 GPT4,Q11,GPT4,4.0,3.0,4.0,3.0,3.0,3.0,,
Q11 GPT5,Q11,GPT5,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Q11 RAG,Q11,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q13 GPT4,Q13,GPT4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Q13 GPT5,Q13,GPT5,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0
Q13 RAG,Q13,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q17 GPT4,Q17,GPT4,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Q17 GPT5,Q17,GPT5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Q17 RAG,Q17,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q18 GPT4,Q18,GPT4,3.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0
Q18 GPT5,Q18,GPT5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
Q18 RAG,Q18,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q19 GPT4,Q19,GPT4,4.0,3.0,4.0,4.0,3.0,3.0,,
Q19 GPT5,Q19,GPT5,3.0,2.0,3.0,3.0,2.0,3.0,,
Q19 RAG,Q19,RAG,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q20 GPT4,Q20,GPT4,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0
Q20 GPT5,Q20,GPT5,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0
Q20 RAG,Q20,RAG,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
Q21 GPT4,Q21,GPT4,3.0,3.0,3.0,3.0,2.0,3.0,3.0,
Q21 GPT5,Q21,GPT5,4.0,4.0,4.0,4.0,3.0,4.0,,
Q21 RAG,Q21,RAG,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Q22 GPT4,Q22,GPT4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Q22 GPT5,Q22,GPT5,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Q22 RAG,Q22,RAG,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Q23 GPT4,Q23,GPT4,3.0,2.0,3.0,3.0,2.0,2.0,3.0,
Q23 GPT5,Q23,GPT5,4.0,3.0,4.0,4.0,3.0,3.0,3.0,
Q23 RAG,Q23,RAG,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0
