id,row_mean,row_min,row_max,row_min_col,row_max_col
Q5 GPT4,3.125,2.0,5.0,Reduction,Irrelevance
Q5 GPT5,4.0,3.0,5.0,Narrativity,Repetetion
Q5 RAG,5.0,5.0,5.0,Recall,Recall
Q8 GPT4,3.5,3.0,5.0,Factuality,Recall
Q8 GPT5,3.167,3.0,4.0,Recall,Ambiguity
Q8 RAG,5.0,5.0,5.0,Recall,Recall
Q9 GPT4,3.5,3.0,4.0,Factuality,Recall
Q9 GPT5,4.0,2.0,5.0,Narrativity,Recall
Q9 RAG,5.0,5.0,5.0,Recall,Recall
Q10 GPT4,3.286,3.0,4.0,Factuality,Recall
Q10 GPT5,4.0,3.0,5.0,Ambiguity,Irrelevance
Q10 RAG,5.0,5.0,5.0,Recall,Recall
Q11 GPT4,3.143,2.0,4.0,Factuality,Recall
Q11 GPT5,4.0,3.0,5.0,Narrativity,Reduction
Q11 RAG,5.0,5.0,5.0,Recall,Recall
Q12 GPT4,3.833,3.0,4.0,Generalization,Recall
Q12 GPT5,3.5,3.0,4.0,Factuality,Recall
Q12 RAG,5.0,5.0,5.0,Recall,Recall
Q14 GPT4,3.714,3.0,4.0,Generalization,Recall
Q14 GPT5,3.429,2.0,5.0,Narrativity,Repetetion
Q14 RAG,5.0,5.0,5.0,Recall,Recall
Q15 GPT4,3.286,2.0,5.0,Generalization,Narrativity
Q15 GPT5,3.571,3.0,5.0,Factuality,Recall
Q15 RAG,5.0,5.0,5.0,Recall,Recall
Q16 GPT4,3.25,2.0,5.0,Reduction,Recall
Q16 GPT5,4.125,2.0,5.0,Narrativity,Recall
Q16 RAG,5.0,5.0,5.0,Recall,Recall
Q17 GPT4,3.857,3.0,5.0,Generalization,Recall
Q17 GPT5,3.429,3.0,4.0,Factuality,Recall
Q17 RAG,4.571,3.0,5.0,Ambiguity,Recall
Q19 GPT4,3.286,3.0,4.0,Factuality,Recall
Q19 GPT5,3.857,3.0,5.0,Narrativity,Recall
Q19 RAG,5.0,5.0,5.0,Recall,Recall
Q21 GPT4,3.875,3.0,5.0,Generalization,Recall
Q21 GPT5,3.625,2.0,5.0,Narrativity,Ambiguity
Q21 RAG,4.875,4.0,5.0,Generalization,Recall
Q24 GPT4,3.75,3.0,5.0,Reduction,Narrativity
Q24 GPT5,3.75,3.0,5.0,Narrativity,Irrelevance
Q24 RAG,4.75,4.0,5.0,Narrativity,Recall
